,polarity,summary,reviewText,year,uuid,asin,reviewerID
321,positive,Excellent Product!,These finger guards are simple to use and very effective. I highly recommend this product for anyone with a toddler or infant on the go!,2008,1222905600B00069BVGWA322Y0WNIW11SV,B00069BVGW,A322Y0WNIW11SV
322,positive,SippiGrip,"This is great for keeping the bottle or sippy cup attached to high chair, stroller, car seat, anything. Easily wiped clean, adjustable band with velcro to go around bottle with rubberized grip, end attaches with velcro loop/handle.  Love it and have more than one.",2008,1204243200B000YH4TYWA12C3UTX5JGAMU,B000YH4TYW,A12C3UTX5JGAMU
323,positive,Still have it and use it 3 yrs. later!,"Ok, when I first heard about it, I hated it and thought,"" why do I need to spend so much money for a stupid ""c"" pillow with cover? IT IS SOOOO comfortable 3 yrs. later! When I 1st had it with my 1st boy, I was scared to use it for breast-feeding...thought I would get dependent on it and wouldn't know what to do if it wasn't around...BUT, it made breast-feeding sooo much easier, and then the sitting up stage, and well, now I use it for myself, instead of a pillow. It is worth it! Very comfortable for breast or bottle feeding and as a pillow for and adult! You are not wasting your money!",2009,1235088000B000KW5I6EA2JW331ATA1PP2,B000KW5I6E,A2JW331ATA1PP2
324,positive,Great but,"Great product, nice tunes... deducted one star because unit does not have the continuous play feature. You have to keep pressing the play button after each song. My baby is not old enough to do this on his own.... but he loves to stare at the flashing lights when the songs are playing.I will rate this 4.5 stars out of 5.... but since we can only rate one star at a time then i rated it 4 stars here.",2009,1249430400B000YDDF6OAF19DB3JIPX9O,B000YDDF6O,AF19DB3JIPX9O
325,positive,Very Useful Sterilizer! Recommended!,"Being somewhat paranoid about germs when we had our first child, we were ultra careful with sterilizing EVERYTHING. This was a time consuming process and we likely spent much more energy than needed. By the time we had our second child, we were still careful but just not quite so much.Now we have the ""iQ24 Steam Sterilizer"" which drastically simplifies the sterilization process. With it's two modes of operation, we can choose to quick sterilize (6 minutes) or longer (keeps sterile for 24 hrs). We can't see any real need for the longer mode since the quick mode keeps the bottles sterile for 6 hrs.This really beats having to boil bottles on the stove like we did for my first two children and saves us a lot of time and energy. As one other reviewer noted, the iQ24 does not clean the bottles! You must wash the bottles before putting them in the Sterilizer.As a side note, my science minded daughter has already claimed the iQ24 for use in science projects since she knows that it can also be used to sterilize lab equipment and Petri Dishes. Not quite an autoclave but usable.Note that this does not come with bottles!For time and energy saving convenience, highly recommended! For a less expensive solution, check out the microwaveable version,Philips Avent Express II Microwave Steam Sterilizer without Bottle",2008,1229472000B001C3MHF0A3OXHLG6DIBRW8,B001C3MHF0,A3OXHLG6DIBRW8
326,positive,dishwashing baskets,"I bought 3 of these. I rinse the bottles immediately after they are used (part by part) Then I wash them in these baskets, with the dishwasher. This saves a lot of time.",2009,1257552000B0013P53YEAJC8Z3B40NHY7,B0013P53YE,AJC8Z3B40NHY7
327,positive,You must get this swing!,"Wow!  When this swing arrived at our doorstep after 2 weeks of no sleep, I wept.  This saved me!  The swing is a perfect shape to hold a small baby and the rocking side to side comforted my daughter like no other.  It seems a little fast, but my daughter loved it.  Easy clean.  Get rechargable batteries!",2005,1120262400B0006FHFYSA2RYM522VZ3MEX,B0006FHFYS,A2RYM522VZ3MEX
328,positive,I absolutly love this seat!,"I've tried 2 others but this one is the one! It's comfortable, easy to use, very sturdy and safe. Definitely worth the money.",2005,1107388800B000099Z9KAILJ49SI93LTS,B000099Z9K,AILJ49SI93LTS
329,positive,Great BPA free bottles,"I ordered these bottles to replace my Dr. Brown's bottles when my daughter was about 5 months because they were BPA free.  I was worried that she wouldn't take the new bottles well because they were a different size and shape but she didn't hesitate at all.We have had no problems with these bottles.  She is now 11 months and they have held up great.The one thing that I didn't like about the Dr. Brown's bottles I originally had was all of the different parts.  While the Born Free bottles have just as many parts to wash, you do not need a special small brush for these like you do with the Dr. Brown's bottles which I like.",2008,1227139200B000MRGML2A279A4Y2N1CQ26,B000MRGML2,A279A4Y2N1CQ26
330,positive,BEST BATHTUB EVER!,"i reccomend this to anyone looking for a safe baby bath. awesome for first time parents. its soft and cushy and baby doesn't slide around. my daughter is 10 months old and still uses it. she has used it since day oen. i wouldn't go with any other tub. safest tub you can buy.it does hold a lot of water, but as long as you hang it to dry, it is fine. drys overnight when its hung up. the best part.. you can toss it in the washer when it gets dirty.A MUST HAVE for new mothers and fathers!",2004,1093305600B00005JIVIA14R2TRNC07U9Y,B00005JIVI,A14R2TRNC07U9Y
331,positive,I really like these multi-purpose containers!,"I used these for storing milk in the beginning.  I never had a problem with them leaking.  You really do need to screw the tops on correctly.  The ablility to stack these is fantastic.I also use them to store home-made baby food, pudding, etc!  The size is perfect for toddler portions and storing bite-sized pieces of fruits and vegies, cereals, etc.  Yes, I have the usual collection of other brands of storage containers but I like the sturdiness of these.  They don't dent in my diaper bag or purse!A great product that is easily re-purposed!",2005,1129593600B00018XCS8AZTY4WBRB5MAL,B00018XCS8,AZTY4WBRB5MAL
332,positive,Love the Tot Loks,I feel bad that some people have had such a poor experience with this lock.  We on the other hand love these locks.  We bought our first set 7 years ago to use with our first child.  One set of Grandparents use them and an aunt too.  I am just about to get a second set because we have a new crawler and I want to put them on the bathroom cabinets.  They are a bit expensive but you will never need to buy locks again.  We prefer to leave our on at all times (even when our children don't need the cabinets locked anymore) because they are easy to turn off (just a flip of the red tab inside the cabinet) that way they are there whenever you have little ones visiting your home.  We have never split a cabinet and we don't think it takes that much longer to install then any other cabinet locks.  You will have to drill in you cupboard doors but your little one(s) will be protected.  It leaves no room for fingers to get pinched either.  If you do happen to lose your lock you can buy a strong magnet from your home improvement store and still get it open.  We like to keep our lock on the metal frame by the kitchen window above the sink.  Good luck whatever you decide.,2009,1237939200B0000488W2A2D1KIELA53FAE,B0000488W2,A2D1KIELA53FAE
333,positive,Even Better than I Expected,I love this car seat.  The fabric is nice.  The straps easily adjust which matters right now because we are transitioning between seasons and sometimes my daughter has a jacket or sweater and sometimes not.  It got the highest safety ratings everywhere I checked and of course that is the most important thing.  It was also much easier to install than I thought.  I had it installed at the fire station but had to take out.  I decided to try myself instead of taking it back to the fire company and I was able to install it.,2005,1132963200B0001ZZQS0A1HBL1QZ1PK7JB,B0001ZZQS0,A1HBL1QZ1PK7JB
334,positive,Keeps the blanket tucked in!,"I originally bought this as a way to make sure my baby stayed on her back or side while sleeping.  It works great for this!  However, I found an even better use!  My baby kicks the blankets off of her every night, even if I swaddle her, and I used to worry all night that she was uncovered and cold.  So I take a receiving blanket and tuck it in all around her under the sleep positioner mat, so it makes it very hard for her to kick off the covers!  I think this is a must have for all new parents and babies!",2004,1086652800B00007B769A2UYLD3M1LV4VY,B00007B769,A2UYLD3M1LV4VY
335,positive,Baby LOVES the bath!,"This bathtub is great! My 3 month old loves the water, and seems to feel very secure in the mesh cradle included. The tub fits perfectly in my kitchen sink, and has a little compartment to hold soap etc.Edited to say: At almost 8 months we are still using this bathtub! We moved it from the sink into the tub quite a while ago, and took the mesh cradle out. He is almost too big for it now, and we'll be looking at those bath seats.  However, there are not that many baby items that you can say you got almost 8 months use from - so I'm very satisfied.Great purchase - highly recommended!!",2004,1095120000B000067EH7A28KF3SKY3H2TQ,B000067EH7,A28KF3SKY3H2TQ
336,positive,Great tub!,"Our daughter has used this tub since her first day home at 4 pounds and the tub has made bathing her very easy even that small!  Now that she is bigger, (5 months old, 11 pounds) she still uses the sling and we love that the pillow moves up to cushion her head and the plastic divider below supports her tushie.  I suggest always drying out the tub/sling after each bath by squeezing out excess water from the pillow and turning tub over to air dry.  We have never had any problem with mildew (like some users) because we always dry out the tub between baths.",2006,1167264000B0009UBSFMAKDI0L19GA8DL,B0009UBSFM,AKDI0L19GA8DL
337,positive,Lifesaver,"I waited a really long time to buy this because it felt like a lot of money to pay for a smock. I regret waiting at all. It makes feeding time infinitely easier- I don't have to completely strip down my toddler anymore or spend hours trying to clean out stains. It's long enough to cover his lap beyond the highchair tray (if you don't use a tray, part of the legs will still be exposed for spills). The neck is high enough to cover his collar which used to get hit even with a bib.  It's really easy to clean, and I'm no longer afraid to let my child feed himself goopy, staining foods! It's completely worth it and I wish I'd had it since he started solids. Later edit: We've now had this smock for about 2 years and it's barely showing signs of wear. I throw it in the laundry about once a week for a thorough cleaning and just wipe it down with a paper towel between meals. The best way to get it clean is to turn it inside out in the wash and then hang it over a chair. It will dry extremely fast and get really clean. If you don't turn it inside out, the sleeves have a hard time drying on the inside where the absorbent fabric is. We LOVE this smock and just ordered a second one for my daughter.",2008,1202428800B000CSBP9KA2G6OS10YOK4IH,B000CSBP9K,A2G6OS10YOK4IH
338,positive,I had no problems,"I used these bottles and had no problems whatsoever.  They helped with gas yet were not a pain to clean (like the Dr. Brown's bottles...oh my gosh...talk about time consuming).  Others mentioned leaking around the bottom of the bottle; I had a bottle leak one time but soon realized I did not have the plastic disc in place completely.  I readjusted the disc and everything was fine.  Also, I have put the bottles together many times with them still wet and have had no problems.",2006,1144108800B00006966IA1ZPFA3QQFBBX6,B00006966I,A1ZPFA3QQFBBX6
339,positive,a great item,"keeps baby's skin warm, rather than putting them directly on the cold changing pad surface. i have washed it several times, and it handles well in the washer/dryer.",2004,1076371200B000056OWBA15BT7GWK4AAMD,B000056OWB,A15BT7GWK4AAMD
340,positive,"BPA Free, my son loves these","Whenever he sees me packing any snacks in these cups, he loves to have them.  they are easy to use, large enough to fill up a good amount of snacks that will last few hours of play.  I had used the snack-trap ones before.  those are badly made.  the lids don't last at all.  after a few use, the trap leaves a big hole and so the food falls out of the cup easily.  My son loves these cups, they feel clean and it's BPA free!",2009,1238457600B000GB0NZKA1AW3TPT0LC54G,B000GB0NZK,A1AW3TPT0LC54G
341,negative,nothing special,The picture and sound quality is decent on this camera.  The main problem I have is the battery life.  It is definitely not enough to last through the whole night.  The camera unit has to be hooked up to the AC adapter most of the day and the monitor has to get recharged every 4 hours.  In order to get the monitor fully charged you have to let it charge for 3 hours. I would not recommend this monitor to anyone. Try to look for a monitor with a longer battery life.,2009,1258848000B001FB567UA1IOIKTR8WIEUP,B001FB567U,A1IOIKTR8WIEUP
342,positive,"Great swing, but....","This swing is well designed in every way.  The seat is soft and baby-shaped, the different speeds are great, the music is not annoying at all, the toy bar is cute, the fabric is cozy and attractive, the fold-up legs are so helpful, the small size stays out of the way, the recline is perfect for newborns and sleeping babies, and the battery life is great.  I liked the idea of taking it from room to room like others have said, but I'm finding that in reality, with a baby in one arm, I just can't.  It's a little bit awkward to carry one-handed, and the legs, when open, are too wide to fit through the doorways of my 1850's apartment so I'd need to put the baby down to fold it-- too many steps!  I love, love, love this swing, and I'll continue to use it, but I'm back here to buy a really light, cheap bouncy seat to easily travel with us from bathroom to kitchen to den etc.",2008,1224547200B000NUJM0GA234HXDATOAYEY,B000NUJM0G,A234HXDATOAYEY
343,positive,"Nice, but a little loud?!","I just received this item as a baby shower gift, so my review is somewhate limited since I haven't actually used it yet! Nonetheless, a few things I noted. First, the way in which the hanging toys are attached to the activity bar is different than what is pictured. They do not go through loops that hang down from the bar, but rather velcro onto it. That's fine, except the velcro is backwards, in my opinion, for the cow. Or, the cow needs to have a face on both sides! The way it attaches, the baby looks at the back of it's blank white head! The cow should be for the baby, not the parents to look at! Also, the vibration is really, really loud -- at least without a baby sitting in the seat. I assume the baby's body muffles the sound, since no one else noted this in their review. On the positive side, it was simple to assemble and you can use it up to 40 lbs!",2005,1108425600B0002ZOI9WA24ZVNHFYQPLAL,B0002ZOI9W,A24ZVNHFYQPLAL
344,positive,This monitor is amazing!,"We just set up our son's nursery and tested out the Sony monitor. I sat in the nursery opposite side of the room from the monitor and whispered as quietly as I could as my husband walked all over our house. He could hear me everywhere he went, both upstairs and down.We were a little concerned with finding a monitor that would work for us, because we live in an old Victorian house with plaster walls. To use cell phones in our house, you have to stand by a window and not move or you will lose your call. The Sony 27 channel monitor worked perfectly! We couldn't ask for anything more!",2005,1121990400B000S35QLCA1XTRCXQYYHMMM,B000S35QLC,A1XTRCXQYYHMMM
345,positive,Buy this tub!!,"I was reluctant to register for this tub because it was so affordable.  But it is GREAT! I don't know what I would've done without it because it comes with a net to place newborns in...and their heads are so wobbily, you really can't do without it.",2006,1139011200B000067EH7A2PGJ6XD5T5300,B000067EH7,A2PGJ6XD5T5300
346,positive,my daughter is mesmerized,"I will lay her down and she will go through all three fifteen minutes settings, only fussing if we take to long to start it over.  I wish the one I purchased had a remote, and I also wish that it worked with an adapter, because the battery gets used up real fast.  Overall, very very happy with this product... that's both me and my daughter",2005,1122595200B00006G963A2HHX876PGDZL,B00006G963,A2HHX876PGDZL
347,positive,Inexpensive Cups with Straws,"I had been using the Take and Toss ones in the sippy cups and saw these with the straws. It's one step closer to moving my son to using regular cups. He feels like a big boy using a cup and straw instead of a sippy cup like his baby brother.They last with repeated use for several months then ours eventually develop a crack in them from being thrown on the floor. I do hand wash mine even though they state top-rack dishwasher safe and I believe that helps them last a little longer.  My sons are at the age where we are transitioning them from sippy cups to regular cups and these are perfect for that in-between stage.These are also labeled plastic type 5 which is polypropylene which is considered safe and does not leach BPA (bisphenol-A) into foods and beverages like some plastics can. That makes me feel better and sets my mind at ease about using these with my children.Make sure that you put the lid on the cup and then insert the straw. If you are refilling and take the top off with the straw still in and then replace, liquid will come shooting out the straw.",2008,1218067200B0000BX8LVALNFHVS3SC4FV,B0000BX8LV,ALNFHVS3SC4FV
348,positive,Great Pump with a Great Price,"I have loved this pump.  I have used it since I got home from the hospital and my daughter is now 10 weeks old.  The only other pump I have experience with is the Medela Symphony in the hospital.  I found the 3 minute letdown feature annoying on it.  The Hygeia Enjoye jumps right in just like the baby and works well.  It pumped better for me than the Symphony did in the hospital.  I have never had any complications with it and use it daily, sometimes multiple times.  I understand the reason for the baby recording button, however, I find it silly and annoying since I seem to hit it by accident.  I have not had issues with pumping so it may be useful if you do.  I would recommend this pump to anyone and love that it is more green and can safely be reused by others.  Nothing has broke or worn out.  I could think of a few improvements like the ability to pump into storage bags, etc, however, for the price and quality I give it 5 bright stars.",2009,1256169600B0028MI4M4A2MQ7X9MMX3XQZ,B0028MI4M4,A2MQ7X9MMX3XQZ
349,positive,Worth the cost!!!,"These bottles are a true must have!  They are the only worthwhile bottles on the market and are well worth the extra price as well as the extra time to wash.  They really limit the gas intake and we never had an issue with leaking bottles, like so many other brands.  It is a bit of a hassle to get all the pieces in the dishwasher.  I like the wide neck bottles because they are closer to breast feeding and when my son got older, it was easier for him to hold the bottle on his own.",2008,1201651200B0000936M4A2LYF3DJN9X5JN,B0000936M4,A2LYF3DJN9X5JN
350,positive,"Loud, but good","This pump is very good.  I had to pump while my daughter was in the hospital the first month of her life.  During the day I used the hospital grade pumps at the hospital, but at night I used this pump until finally buying the double electric Medela pump. I got just as much milk with this pump as I did the hospital pump.  I only used the electric plug, never batteries.  It is a handy pump to have.  I don't see how a nursing mom can go without ever having to pump at some point, even if its for cereal when they start that. Medela is definitely the best pump to get, and don't even think about a manual one.  I never pump now since I'm home with my baby, but I am so glad I have this pump. It is definitely loud, but putting a folded towel over it helps.  If you have to pump a lot, and can afford it, a double pump is the way to go though...it takes half the time, which is very important when you have a baby to take care of.",2004,1086912000B000056HMVA3Q0XNQUB1EILY,B000056HMV,A3Q0XNQUB1EILY
351,positive,Baby's Personal Disney Ride!,"This swing is the best! There is so much fun going on, it's like our baby has her own personal Disney ride at home! The music is great & she loves to stare at the fish & lights in the water filled globe. The seat is plush & comfortable with a colorful fish pattern. Seat cover washes nicely. She even falls asleep in it sometimes. It was pretty easy to put together-just follow the directions.",2005,1123632000B0006FHFYSABTVDDH7CDA0B,B0006FHFYS,ABTVDDH7CDA0B
352,negative,We just didn't use it,"We tried to install his under our car seat, but it didn't fit easily under the seat base in our small car, and seemed to make installation more difficult.  Rather than risk it, we haven't used it.",2003,1066003200B000083GHYA3PP8U6JJEAYT6,B000083GHY,A3PP8U6JJEAYT6
353,positive,Very durable and sturdy,"This is very heavy so that it cannot be lifted by any young child. My 8 year old cannot lift it.  But it can slide a little if your child puts their weight on it. It will not topple over as this is impossible. I use it to block my garage so that my 2 year old doesn't run out of the garage and into the street. Once your child is too big to fit in a playpen, you can get this so that they have more room to play, but still have them contained.It is very difficult during the first few times you open and close it. But it does loosen up and becomes easy enough to setup alone. It is actually better that the joints don't move so easily so that your child cannot change the shape of the play yard when they push against it.",2009,1248825600B00020L78MA5CDMTW6JKV5G,B00020L78M,A5CDMTW6JKV5G
354,positive,Easiest way to bathe a baby!,"The safer bather is the BEST baby bath aid out there! It's soft but not squishy, contoured so baby dosn't roll off, small and easy to store, machine washable, and babies love it! What else could you ask for? I don't know how anyone could choose one of those big, clunky tubs over this.***UPDATE***Almost 3 years, two kids and many baths later this safer bather is still getting used and works just like it did when it was new!",2006,1144108800B00005JIVIAFG4HIHMX312C,B00005JIVI,AFG4HIHMX312C
355,positive,A must,My son would not take naps in his crib but would nap for hours in this swing.  The soothing music and sounds are very pleasant and my son likes to look at himself in the mirrored part.,2005,1115942400B0001IU5HYA3UFQ6AD7I3APQ,B0001IU5HY,A3UFQ6AD7I3APQ
356,positive,So many uses!,"My son is four months and this product is perfect.  No smells at all!  Holds a decent amount of diapers, my husband empties it once a week.  No down side, all pluses here!  Especially no special bags to buy.  And when your child is out of diapers, you can use it as a regular trash can to put food or pet waste in.",2006,1139443200B00003TL7PA2VX8J2HVPUIOE,B00003TL7P,A2VX8J2HVPUIOE
357,positive,Works great,I switched to these from Avent with no problems.  So far I like these better.  My son didn't want to switch to the Stage 3 until he was almost 8 months old - so I'd try them out before I plunged.,2008,1208563200B000MRGMSAA1IBKN1GXYJ3K4,B000MRGMSA,A1IBKN1GXYJ3K4
358,positive,"Fun product, but not all colors are ""worthy"".","My husband and I bought this for our little girl's nursery. It's perfect; however, the amber lights are barely visible - even when the room is completely dark. Furthermore, the blue lights are not that great (although better than the amber ones). The best are the green stars. They are the most clear and most visible. Overall, we are very pleased with this product and would recommend it to others. Enjoy!",2008,1216080000B000BNQC58AS7ZRG5D5XACX,B000BNQC58,AS7ZRG5D5XACX
359,positive,My triplets love it!,"My trio loved this thing and still will play with it, lol. Each section is a squeaky, crinkle or rattle, and the mouth squeezes to play music. If you wash it, the music stops playing though, lol.",2009,1231286400B000I2MRJCATK1RL71E7AHC,B000I2MRJC,ATK1RL71E7AHC
360,positive,nice,"I like to use reusable washable nursing pads at home, since they are softer than disposables & more comfortable. Like other reusable pads, I won't wear them away from home because they could leak through, and they are more bulky and so can be seen through my clothing.  These are soft and I prefer the jersey version of these pads (the fleece version tended to leave lint on my skin if it wasn't completely dry--yuck for baby!).",2009,1246147200B001NAAQP0A32ES0MXME1TX3,B001NAAQP0,A32ES0MXME1TX3
361,positive,The main dish is all I use,I do not use the individual smaller containers that came with it.  They don't seem that useful to me.  But the main dish I like this because it is very useful to keep veggies and fruits separate when feeding my baby.  It is a decent size.,2008,1201046400B000BH79VKA14UOOROH3XRQ9,B000BH79VK,A14UOOROH3XRQ9
362,positive,Perfect!,These buckets are better and safer than a toy chest!  The different sizes allow allow us to organize some if we choose or grab one to take on a trip.  My daughter loves playing with them and it is easy for her to take her toys in and out.  I haven't had to worry about safety with them either as they collapse easily.,2008,1214438400B000XPB6UUA2TG259EXI9PJ0,B000XPB6UU,A2TG259EXI9PJ0
363,positive,This is a great invention!,"I love our wipe warmer!  I've also seen some of the negative feedback, and I don't have of those problems at all!  If you follow the directions with the package, your wipe warmer will be fine!  The Ever-Fresh pad at the bottom does dry out, but we just re-wet it each time we replace the wipes.  I've never had any wipes get brown or dried out.  The wipes stay warm long enough for me to use them - I just make sure to pull out a wipe as I need it.  And yes, some wipes are not made for the top part that allows another wipe to pull out after.  But all you need to do is buy the wipes that are folded that way.  I buy the Especially for Baby wipes in the big box.  You can get them at any Babies R Us or Toys R Us.  It costs about $10, and lasts us for over a month.  Plus, they're nice and soft and have no scent.The ONLY complaint I might have about the wipe warmer is that when I pull out a wipe, another wipe usually comes out with it unless I use 2 hands to pull.  But this is a minor issue.  I'd much prefer to have the wipe warmer.  This isn't a necessary item, but it's definitely something worthwhile to have!",2005,1130112000B00008ODBGA1WUPF0L9YH9JL,B00008ODBG,A1WUPF0L9YH9JL
364,positive,Wish FP would please with toddler toys as much as baby...,"Ok, I have to say that since I became a mom 3 yrs. ago, I have LOVED FP toys! And this bouncy seat/rocker has been one of my favorites! I gave it up recently when my 1 1/2 yr. old was tired of it after using it with my now 3 yr. old AND I just have to say  that it was a life-saver sometimes! I wish all their stuff was this good! You'll have to read more of my reviews about OTHER toys to see what disappointed me....This bouncy/toddler rocker is a good buy! You won't regret it!",2009,1235088000B0002ZOI9WA2JW331ATA1PP2,B0002ZOI9W,A2JW331ATA1PP2
365,positive,Doesn't Require Batteries!!,"As a first-time mom to a now 6 month old boy, I have run the gamut in terms of baby toys.  This is one of the best I have come across so far.  It's durable and educational.  I love that it doesn't matter what end you set it on.  There is no upside-down to this toy.  My son can pick it up and move it around with one hand, so it isn't too heavy, which is definitely a bonus.  He likes hearing the sand/rattle sound when I turn it over for him.  He likes to spin the little pieces and/or watch me spin them.  There is so much to see and do with this toy, and I love that the creators of it didn't feel the need to design it with all kinds of flashing lights, silly songs, and other bells and whistles.  If you want a good, basic, entertaining, educational (and I might even venture old-fashioned in some ways) toy, you should definitely get this one.  My son has to actually do something with this toy rather than listen to it and watch some lights flash.  I'm a little tired of all the toys that I've come across that don't really do anything except drain batteries.  I like the more classic purpose behind this toy.",2008,1215129600B0002Q2OPGARQBZYLCWEOFU,B0002Q2OPG,ARQBZYLCWEOFU
366,negative,Didn't fit on anything we owned,"I received this as a gift, unforutnately it didn't fit on our stroller (pretty standard Graco Travel System) or on our carseat (either our Grace or our Marathon) and so it was pretty useless.",2004,1082592000B00003TL3HA2WNXS3CNAQS01,B00003TL3H,A2WNXS3CNAQS01
367,positive,"Easy to add, and very secure","I was worried that the extension would be loose, or threaten the integrity and safety of the gate itself. But it isn't, and doesn't, and took literally seconds to snap onto the gate. Yahoo!",2004,1091491200B00005N9X8A1LX9GSMN66L7E,B00005N9X8,A1LX9GSMN66L7E
368,positive,Solution to feeding my baby,"I had trouble getting my breastfed baby to take an Avent bottle (which my first took beautifully) so I called the lactation consultants at the hospital to ask their advice.  They suggested the Evenflo classic bottles which are like these except plastic with the clear nipple.  They worked great.  After swearing by Avent with my first, I never imagined the solution to feeding my second would be an ""old-fashioned"" type bottle.  It works though so I will stick with them.",2005,1116374400B000056W4VA1P708DJ39TQ4W,B000056W4V,A1P708DJ39TQ4W
369,positive,Doesn't leak!  Love this cup,My little girl loves trying to use this cup.  I say trying because she is breastfed and hasn't even learned to use a bottle yet.  She loves the colors and likes to see the liquid inside this cup.  The handles are perfect for her little hands to grab and the sippy nipple is soft enough for her to use.  She is still learning but this product is so great we might skip bottles all together and graduate to these after the breast!!,2009,1256688000B001QXCF12A1F0809QT61J2D,B001QXCF12,A1F0809QT61J2D
370,positive,Great diaper pail!,"I've had this diaper pail for 3 years now, and it's been through 2 kids (both in diapers for 18 months of that!).  I love this diaper pail! My favorite feature is that it doesn't require special refills--it can use any trash bag (we just use a tall kitchen trash bag).  My 3 1/2 year old still hasn't figured out how to open it, but it's easy enough for me to open quickly.  The only times I have had a problem with odors is if too many diapers are stuffed into the pail.  Even then, these odors can be minimized with a bit of baking soda sprinkled in the bottom of the pail.Although I debate the necessity of ANY diaper pail, this one receives 5 stars from me!",2004,1088035200B00003TL7PA2XUQN9HUD6ISG,B00003TL7P,A2XUQN9HUD6ISG
371,positive,Almost perfect,"I like this wrap a lot and I am really into baby-wearing.  The fabric is really soft and it comes in so many nice colors.  My daughter loves it, too.  My only problem is that it's a little complicated.  It's not easy enough to get it on and off.  And when my baby wakes up and wants to be fed, I'd really like to be able to get us out of the wrap faster (sometimes I am able to just shift her around and feed her in the wrap).  My only other issue is that it's very warm - and I live in a hot climate.  She can't wear it for too long without getting overheated and fussy.  I don't think this will be as big of a problem next summer, though, when I can use .  I've started using the maya wrap more, because it's easier and cooler, but it's not as versatile.  If I had to choose between them I'd choose the moby.",2009,1253318400B000N9H4SEA1YHI49AWYNI34,B000N9H4SE,A1YHI49AWYNI34
372,positive,awesome,"Love this stroller.  It is a breeze to assemble, light, easy to carry.  It folds compactly with one hand (wonders when you're holding a chunky squirmer), turns on a dime, and the handles are comfortable for extended walks.  The front wheels can be locked for pushing over grass or other rougher surfaces, and surprisingly it works really well.  My 6 month old rides in it with no trouble, and it will easily accomodate her growing little body for well over a year.  The seat is cushioned, the ride is smooth.  Two drawbacks - the sunshade doesn't extend out very far, offering limited protection at best.  It also attaches kind of funky - you have to fold back the fabric on the side bars and snap it over a little button, which doesn't hold it securely at all.  I overcame this by purchasing a rayshade by kiddtopomus for $11.  The other minor drawback is that the seat does not come up all the way.  It lets down smoothly for sleeping, but baby has to sit slightly reclined when it is pulled up as far as it will go.  My girl doesn't seem to mind this at all, but other babies might.  I don't have a problem with the small storage area underneath, or the lack of cup-holders.  If you're not struggling with juggling a baby AND a bag, it is pretty easy to push a stroller and sip on drink.",2009,1240531200B000UEDH42A2G5YYK19RH1X8,B000UEDH42,A2G5YYK19RH1X8
373,positive,a very beautiful toy,"I like this mobile, the leaves moving up and down, the animals slowly moving around. this is lovely, with soft music for baby, and even a little night light. This is a gorgeous exotic looking mobile. It is pleasant to look at and always catches my sons eye.This does run on big batteries, not included. It requires some assembly. I was able to put it together :) must have a philps screwdriver.The music is ok, but none of the music is listed under the correct composer, that isn't a serious problem at all, but something worth noting. Mozart plays bach, Bach plays Beethoven, Beethoven plays Mozart. This is a good quality product, just what I wanted, and I think i love it more than my son does.",2007,1181347200B000JIHP88AN4KFKJ1D4JOX,B000JIHP88,AN4KFKJ1D4JOX
374,positive,the best jumeroo/exersaucer available!,My daughter is six months old and absolutely LOVES this jumperoo. It has enough to keep her interested for as long as I let her sit in it. She loves the music so dances and jumps up and down. We dno't know what we'd do without this!,2009,1258675200B001GQ2RZIAI2PLMLUMTCHL,B001GQ2RZI,AI2PLMLUMTCHL
375,positive,Quality compact rack,"This is a quality rack that holds a lot, fits in a small space, and rotates for easy access.  I can see that it probably wouldn't support glass bottles, but for everything else it's great.",2009,1257120000B000K53UEIA9PJRH1EHROYC,B000K53UEI,A9PJRH1EHROYC
376,positive,Great Space Saver,"We use this to organize creams, wipes and diapers on the changing table.  It keeps the area clear or clutter and we use it every couple of hours, so I can't complain.  If I could change one thing I would want it to hold a few more diapers.  I would recommend this to a friend and would purchase it again.",2009,1231718400B00006408KAF7FMQKDMSNXN,B00006408K,AF7FMQKDMSNXN
377,positive,An essential!,I bought this for our infant son after reading the glowing reviews on this site.  People are right!  This is a must-have!  We've used this for about four months now and it makes bathing our baby so simple.  It holds him comfortably and I never end up with back strain.  The Safer Bather also dries very easily.  A great product!,2003,1056412800B00005JIVIAZM5AKLRCPOJX,B00005JIVI,AZM5AKLRCPOJX
378,positive,Quick and easy,"This is THE best way to sterilize bottles, bottle pieces, pacifiers, and breastpump parts.  It is quick and easy.  Forget boiling water or whatever else, get the microwave sterilizer.",2002,1010880000B000056OUHA3DC7Y9HO0C457,B000056OUH,A3DC7Y9HO0C457
379,positive,great sippy!,"This sippy is great! My 9 month old son has no problems holding it or sucking out of it. I had no issues taking the spout off as it has a small ""lip"" to pry with your fingers. It does drip slightly when held upside down, but what sippy doesn't? We LOVE this sippy and recommend highly! The only issue we see with it is cleaning, it's a very unique shape and you've gotta wiggle that bottle brush in there to get the bottom middle part.",2008,1219017600B000WEFYDCA36V3SNW7TPKR9,B000WEFYDC,A36V3SNW7TPKR9
